School Name,State,School Sector,School Type,ABS Remoteness Area Name,Latitude,Longitude
Corpus Christi Catholic School,TAS,Catholic,Primary,Inner Regional,-42.871256,147.371473
Fahan School,TAS,Independent,Combined,Inner Regional,-42.91615827,147.3527644
Geneva Christian College,TAS,Independent,Combined,Outer Regional,-41.226741,146.438726
Holy Rosary Catholic School,TAS,Catholic,Primary,Inner Regional,-42.789375,147.248306
Immaculate Heart of Mary Catholic School,TAS,Catholic,Primary,Inner Regional,-42.865543,147.290159
John Calvin School,TAS,Independent,Combined,Inner Regional,-41.447919,147.144799
Larmenier Catholic School,TAS,Catholic,Primary,Inner Regional,-41.460784,147.194752
Launceston Church Grammar School,TAS,Independent,Secondary,Inner Regional,-41.408156,147.128813
St James Catholic College,TAS,Catholic,Combined,Outer Regional,-43.161812,147.075798
Our Lady of Lourdes Catholic School,TAS,Catholic,Primary,Outer Regional,-41.18021,146.355196
Our Lady of Mercy Catholic School,TAS,Catholic,Primary,Outer Regional,-41.525172,146.64995
Sacred Heart Catholic School,TAS,Catholic,Primary,Outer Regional,-41.155798,146.186851
Sacred Heart Catholic School,TAS,Catholic,Primary,Outer Regional,-43.165474,146.943967
St Aloysius Catholic College - Kingston Beach Campus,TAS,Catholic,Combined,Inner Regional,-42.99075,147.322982
St Anthony's Catholic School,TAS,Catholic,Primary,Inner Regional,-41.4062,147.095
St Peter Chanel Catholic School,TAS,Catholic,Primary,Outer Regional,-40.845638,145.131883
St Brigid's Catholic School,TAS,Catholic,Primary,Inner Regional,-42.78063,147.056171
St Brigid's Catholic School,TAS,Catholic,Primary,Outer Regional,-40.988286,145.726855
St Cuthbert's Catholic School,TAS,Catholic,Primary,Inner Regional,-42.843192,147.355348
St John's Catholic School,TAS,Catholic,Primary,Outer Regional,-42.733415,147.441563
St Joseph's Catholic School,TAS,Catholic,Primary,Remote,-41.780321,145.543953
St Joseph's Catholic School,TAS,Catholic,Primary,Remote,-42.081342,145.559515
St Mary's College,TAS,Catholic,Combined,Inner Regional,-42.881808,147.319687
St Patrick's Catholic School,TAS,Catholic,Primary,Outer Regional,-41.235575,146.418418
St Therese's Catholic School,TAS,Catholic,Primary,Inner Regional,-42.846795,147.290228
Hilliard Christian School,TAS,Independent,Combined,Inner Regional,-42.853786,147.28761
Star of the Sea Catholic College,TAS,Catholic,Combined,Outer Regional,-41.107781,146.829593
Stella Maris Catholic School,TAS,Catholic,Primary,Outer Regional,-41.051103,145.887728
The Friends' School,TAS,Independent,Combined,Inner Regional,-42.869285,147.313375
The Hutchins School,TAS,Independent,Combined,Inner Regional,-42.905952,147.330242
The Cottage School,TAS,Independent,Primary,Inner Regional,-42.875405,147.367494
Launceston Christian School,TAS,Independent,Combined,Inner Regional,-41.401842,147.090571
Leighland Christian School,TAS,Independent,Secondary,Outer Regional,-41.153547,146.195067
North West Christian School,TAS,Independent,Combined,Outer Regional,-41.123571,146.080384
St Michael's Collegiate School,TAS,Independent,Combined,Inner Regional,-42.888185,147.323435
Scotch Oakburn College,TAS,Independent,Combined,Inner Regional,-41.449213,147.168873
John Paul II Catholic School,TAS,Catholic,Primary,Inner Regional,-42.8945,147.447
The Launceston Preparatory School,TAS,Independent,Primary,Inner Regional,-41.4374,147.158
Eastside Lutheran College,TAS,Independent,Combined,Inner Regional,-42.851645,147.383845
St Thomas More's Catholic School,TAS,Catholic,Primary,Inner Regional,-41.44512,147.157534
St Paul's Catholic School,TAS,Catholic,Primary,Inner Regional,-42.737339,147.247605
Circular Head Christian School,TAS,Independent,Combined,Outer Regional,-40.8497,145.118
Southern Christian College,TAS,Independent,Combined,Inner Regional,-42.990905,147.307777
Brooks High School,TAS,Government,Secondary,Inner Regional,-41.37813391,147.1213599
Flinders Island District High School,TAS,Government,Combined,Very Remote,-40.11254151,148.0348628
