Calendar year;State/territory;School sector;School type;School count;Proportion of sector;Proportion of state;Proportion of school type
2025;New South Wales;Government;Primary;1,603;76.8;33.4;74.3
2025;New South Wales;Government;Secondary;376;72.9;34.8;17.4
2025;New South Wales;Government;Combined;65;18.7;12.8;3.0
2025;New South Wales;Government;Special;114;60.6;33.2;5.3
2025;New South Wales;Government;All;2,158;68.7;32.0;100.0
2025;New South Wales;Catholic;Primary;419;20.1;34.0;70.2
2025;New South Wales;Catholic;Secondary;127;24.6;40.7;21.3
2025;New South Wales;Catholic;Combined;36;10.4;21.6;6.0
2025;New South Wales;Catholic;Special;15;8.0;31.3;2.5
2025;New South Wales;Catholic;All;597;19.0;34.0;100.0
2025;New South Wales;Independent;Primary;66;3.2;33.7;17.2
2025;New South Wales;Independent;Secondary;13;2.5;19.1;3.4
2025;New South Wales;Independent;Combined;246;70.9;32.1;64.1
2025;New South Wales;Independent;Special;59;31.4;39.9;15.4
2025;New South Wales;Independent;All;384;12.2;32.6;100.0
2025;New South Wales;All;Primary;2,088;100.0;33.5;66.5
2025;New South Wales;All;Secondary;516;100.0;35.3;16.4
2025;New South Wales;All;Combined;347;100.0;24.1;11.1
2025;New South Wales;All;Special;188;100.0;34.9;6.0
2025;New South Wales;All;All;3,139;100.0;32.5;100.0
2025;Victoria;Government;Primary;1,145;73.1;23.8;72.8
2025;Victoria;Government;Secondary;257;73.2;23.8;16.3
2025;Victoria;Government;Combined;87;34.3;17.1;5.5
2025;Victoria;Government;Special;84;67.7;24.5;5.3
2025;Victoria;Government;All;1,573;68.5;23.3;100.0
2025;Victoria;Catholic;Primary;389;24.8;31.6;78.7
2025;Victoria;Catholic;Secondary;83;23.6;26.6;16.8
2025;Victoria;Catholic;Combined;15;5.9;9.0;3.0
2025;Victoria;Catholic;Special;7;5.6;14.6;1.4
2025;Victoria;Catholic;All;494;21.5;28.1;100.0
2025;Victoria;Independent;Primary;32;2.0;16.3;14.0
2025;Victoria;Independent;Secondary;11;3.1;16.2;4.8
2025;Victoria;Independent;Combined;152;59.8;19.8;66.7
2025;Victoria;Independent;Special;33;26.6;22.3;14.5
2025;Victoria;Independent;All;228;9.9;19.4;100.0
2025;Victoria;All;Primary;1,566;100.0;25.1;68.2
2025;Victoria;All;Secondary;351;100.0;24.0;15.3
2025;Victoria;All;Combined;254;100.0;17.6;11.1
2025;Victoria;All;Special;124;100.0;23.0;5.4
2025;Victoria;All;All;2,295;100.0;23.7;100.0
2025;Queensland;Government;Primary;917;80.2;19.1;73.2
2025;Queensland;Government;Secondary;194;71.1;18.0;15.5
2025;Queensland;Government;Combined;92;31.8;18.1;7.3
2025;Queensland;Government;Special;49;50.0;14.3;3.9
2025;Queensland;Government;All;1,252;69.4;18.6;100.0
2025;Queensland;Catholic;Primary;197;17.2;16.0;62.7
2025;Queensland;Catholic;Secondary;57;20.9;18.3;18.2
2025;Queensland;Catholic;Combined;46;15.9;27.5;14.6
2025;Queensland;Catholic;Special;14;14.3;29.2;4.5
2025;Queensland;Catholic;All;314;17.4;17.9;100.0
2025;Queensland;Independent;Primary;29;2.5;14.8;12.2
2025;Queensland;Independent;Secondary;22;8.1;32.4;9.3
2025;Queensland;Independent;Combined;151;52.2;19.7;63.7
2025;Queensland;Independent;Special;35;35.7;23.6;14.8
2025;Queensland;Independent;All;237;13.1;20.1;100.0
2025;Queensland;All;Primary;1,143;100.0;18.3;63.4
2025;Queensland;All;Secondary;273;100.0;18.7;15.1
2025;Queensland;All;Combined;289;100.0;20.1;16.0
2025;Queensland;All;Special;98;100.0;18.2;5.4
2025;Queensland;All;All;1,803;100.0;18.6;100.0
2025;South Australia;Government;Primary;348;79.6;7.2;68.5
2025;South Australia;Government;Secondary;68;80.0;6.3;13.4
2025;South Australia;Government;Combined;74;45.1;14.6;14.6
2025;South Australia;Government;Special;18;64.3;5.2;3.5
2025;South Australia;Government;All;508;71.1;7.5;100.0
2025;South Australia;Catholic;Primary;60;13.7;4.9;59.4
2025;South Australia;Catholic;Secondary;9;10.6;2.9;8.9
2025;South Australia;Catholic;Combined;27;16.5;16.2;26.7
2025;South Australia;Catholic;Special;5;17.9;10.4;5.0
2025;South Australia;Catholic;All;101;14.1;5.7;100.0
2025;South Australia;Independent;Primary;29;6.6;14.8;27.6
2025;South Australia;Independent;Secondary;8;9.4;11.8;7.6
2025;South Australia;Independent;Combined;63;38.4;8.2;60.0
2025;South Australia;Independent;Special;5;17.9;3.4;4.8
2025;South Australia;Independent;All;105;14.7;8.9;100.0
2025;South Australia;All;Primary;437;100.0;7.0;61.2
2025;South Australia;All;Secondary;85;100.0;5.8;11.9
2025;South Australia;All;Combined;164;100.0;11.4;23.0
2025;South Australia;All;Special;28;100.0;5.2;3.9
2025;South Australia;All;All;714;100.0;7.4;100.0
2025;Western Australia;Government;Primary;550;79.9;11.4;67.7
2025;Western Australia;Government;Secondary;113;79.0;10.5;13.9
2025;Western Australia;Government;Combined;85;39.9;16.7;10.5
2025;Western Australia;Government;Special;65;79.3;19.0;8.0
2025;Western Australia;Government;All;813;72.2;12.1;100.0
2025;Western Australia;Catholic;Primary;110;16.0;8.9;67.1
2025;Western Australia;Catholic;Secondary;21;14.7;6.7;12.8
2025;Western Australia;Catholic;Combined;28;13.1;16.8;17.1
2025;Western Australia;Catholic;Special;5;6.1;10.4;3.0
2025;Western Australia;Catholic;All;164;14.6;9.3;100.0
2025;Western Australia;Independent;Primary;28;4.1;14.3;18.8
2025;Western Australia;Independent;Secondary;9;6.3;13.2;6.0
2025;Western Australia;Independent;Combined;100;46.9;13.1;67.1
2025;Western Australia;Independent;Special;12;14.6;8.1;8.1
2025;Western Australia;Independent;All;149;13.2;12.6;100.0
2025;Western Australia;All;Primary;688;100.0;11.0;61.1
2025;Western Australia;All;Secondary;143;100.0;9.8;12.7
2025;Western Australia;All;Combined;213;100.0;14.8;18.9
2025;Western Australia;All;Special;82;100.0;15.2;7.3
2025;Western Australia;All;All;1,126;100.0;11.6;100.0
2025;Tasmania;Government;Primary;125;81.2;2.6;65.4
2025;Tasmania;Government;Secondary;37;88.1;3.4;19.4
2025;Tasmania;Government;Combined;25;42.4;4.9;13.1
2025;Tasmania;Government;Special;4;50.0;1.2;2.1
2025;Tasmania;Government;All;191;72.6;2.8;100.0
2025;Tasmania;Catholic;Primary;24;15.6;1.9;63.2
2025;Tasmania;Catholic;Secondary;5;11.9;1.6;13.2
2025;Tasmania;Catholic;Combined;8;13.6;4.8;21.1
2025;Tasmania;Catholic;Special;1;12.5;2.1;2.6
2025;Tasmania;Catholic;All;38;14.4;2.2;100.0
2025;Tasmania;Independent;Primary;5;3.2;2.6;14.7
2025;Tasmania;Independent;Combined;26;44.1;3.4;76.5
2025;Tasmania;Independent;Special;3;37.5;2.0;8.8
2025;Tasmania;Independent;All;34;12.9;2.9;100.0
2025;Tasmania;All;Primary;154;100.0;2.5;58.6
2025;Tasmania;All;Secondary;42;100.0;2.9;16.0
2025;Tasmania;All;Combined;59;100.0;4.1;22.4
2025;Tasmania;All;Special;8;100.0;1.5;3.0
2025;Tasmania;All;All;263;100.0;2.7;100.0
2025;Northern Territory;Government;Primary;60;82.2;1.2;40.0
2025;Northern Territory;Government;Secondary;14;60.9;1.3;9.3
2025;Northern Territory;Government;Combined;71;77.2;14.0;47.3
2025;Northern Territory;Government;Special;5;83.3;1.5;3.3
2025;Northern Territory;Government;All;150;77.3;2.2;100.0
2025;Northern Territory;Catholic;Primary;8;11.0;0.6;44.4
2025;Northern Territory;Catholic;Secondary;4;17.4;1.3;22.2
2025;Northern Territory;Catholic;Combined;5;5.4;3.0;27.8
2025;Northern Territory;Catholic;Special;1;16.7;2.1;5.6
2025;Northern Territory;Catholic;All;18;9.3;1.0;100.0
2025;Northern Territory;Independent;Primary;5;6.8;2.6;19.2
2025;Northern Territory;Independent;Secondary;5;21.7;7.4;19.2
2025;Northern Territory;Independent;Combined;16;17.4;2.1;61.5
2025;Northern Territory;Independent;All;26;13.4;2.2;100.0
